index,id,zipcode,season,median_price,price_bought,price_sale,profit
0,7129300520,98178,autumn,284000.0,221900.0,288470.0,66570.0
1,2976800796,98178,autumn,284000.0,236000.0,306800.0,70800.0
2,3352402236,98178,autumn,284000.0,252500.0,328250.0,75750.0
5,179000350,98178,autumn,284000.0,194000.0,252200.0,58200.0
8,179003055,98178,autumn,284000.0,210000.0,273000.0,63000.0
11,3352402250,98178,autumn,284000.0,119900.0,155870.0,35970.0
12,399000195,98178,autumn,284000.0,200000.0,260000.0,60000.0
15,2328800130,98178,autumn,284000.0,220000.0,286000.0,66000.0
16,7129300420,98178,autumn,284000.0,258000.0,335400.0,77400.0
17,185000161,98178,autumn,284000.0,261000.0,339300.0,78300.0
19,8068000305,98178,autumn,284000.0,241000.0,313300.0,72300.0
22,7812800865,98178,autumn,284000.0,170000.0,221000.0,51000.0
23,7657600195,98178,autumn,284000.0,199950.0,259935.0,59985.0
26,2520900301,98178,autumn,284000.0,239300.0,311090.0,71790.0
27,7812800515,98178,autumn,284000.0,159075.0,206797.5,47722.5
30,179001425,98178,autumn,284000.0,230000.0,299000.0,69000.0
34,179000505,98178,autumn,284000.0,257000.0,334100.0,77100.0
36,1180002735,98178,autumn,284000.0,269000.0,349700.0,80700.0
37,4279900140,98178,autumn,284000.0,251000.0,326300.0,75300.0
38,3352401090,98178,autumn,284000.0,238950.0,310635.0,71685.0
41,1180003435,98178,autumn,284000.0,275000.0,357500.0,82500.0
45,393000385,98178,autumn,284000.0,255000.0,331500.0,76500.0
47,2976800749,98178,autumn,284000.0,150000.0,195000.0,45000.0
50,7812801590,98178,autumn,284000.0,219900.0,285870.0,65970.0
51,3352400351,98178,autumn,284000.0,200000.0,260000.0,60000.0
52,7812801850,98178,autumn,284000.0,194000.0,252200.0,58200.0
53,3347400525,98178,autumn,284000.0,147000.0,191100.0,44100.0
54,7657600005,98178,autumn,284000.0,249950.0,324935.0,74985.0
58,7689600630,98178,autumn,284000.0,216500.0,281450.0,64950.0
59,4059400190,98178,autumn,284000.0,225000.0,292500.0,67500.0
60,1123049126,98178,autumn,284000.0,227000.0,295100.0,68100.0
61,3352401476,98178,autumn,284000.0,199988.0,259984.40000000002,59996.40000000002
63,7689600215,98178,autumn,284000.0,202500.0,263250.0,60750.0
64,3352400661,98178,autumn,284000.0,135900.0,176670.0,40770.0
72,4060000240,98178,summer,271000.0,205425.0,267052.5,61627.5
74,3969300030,98178,summer,271000.0,165000.0,214500.0,49500.0
76,1180003090,98178,summer,271000.0,190000.0,247000.0,57000.0
79,5476200160,98178,summer,271000.0,164808.0,214250.4,49442.399999999994
81,7812800310,98178,summer,271000.0,260000.0,338000.0,78000.0
83,3810000565,98178,summer,271000.0,255000.0,331500.0,76500.0
84,3810000202,98178,summer,271000.0,251700.0,327210.0,75510.0
85,4058802105,98178,summer,271000.0,150000.0,195000.0,45000.0
87,5476200123,98178,summer,271000.0,200000.0,260000.0,60000.0
88,7813200115,98178,summer,271000.0,100000.0,130000.0,30000.0
89,7657000165,98178,summer,271000.0,200000.0,260000.0,60000.0
91,3348401584,98178,summer,271000.0,210000.0,273000.0,63000.0
93,3352402195,98178,summer,271000.0,169000.0,219700.0,50700.0
95,8068000585,98178,summer,271000.0,235000.0,305500.0,70500.0
98,1180008315,98178,summer,271000.0,212000.0,275600.0,63600.0
101,7657000225,98178,summer,271000.0,205000.0,266500.0,61500.0
105,2144800615,98178,summer,271000.0,190000.0,247000.0,57000.0
107,3352400325,98178,summer,271000.0,225000.0,292500.0,67500.0
108,1180007005,98178,summer,271000.0,265950.0,345735.0,79785.0
110,4058801065,98178,summer,271000.0,272000.0,299200.0,27200.0
111,7812800775,98178,summer,271000.0,264250.0,343525.0,79275.0
112,2144800117,98178,summer,271000.0,270000.0,351000.0,81000.0
113,7812801925,98178,summer,271000.0,230000.0,299000.0,69000.0
114,1180002075,98178,summer,271000.0,235000.0,305500.0,70500.0
117,4058802255,98178,summer,271000.0,219950.0,285935.0,65985.0
120,7689600330,98178,summer,271000.0,207000.0,269100.0,62100.0
122,2172000035,98178,summer,271000.0,190000.0,247000.0,57000.0
123,3348401490,98178,summer,271000.0,265000.0,344500.0,79500.0
124,7812800995,98178,summer,271000.0,200000.0,260000.0,60000.0
125,4059400515,98178,summer,271000.0,229950.0,298935.0,68985.0
126,3348401622,98178,summer,271000.0,223000.0,289900.0,66900.0
129,1180005280,98178,summer,271000.0,239950.0,311935.0,71985.0
131,7961500010,98178,summer,271000.0,245000.0,318500.0,73500.0
134,4059400585,98178,summer,271000.0,218000.0,283400.0,65400.0
138,4060000170,98178,summer,271000.0,255000.0,331500.0,76500.0
140,7812800215,98178,summer,271000.0,235000.0,305500.0,70500.0
142,7657000540,98178,summer,271000.0,165000.0,214500.0,49500.0
144,2144800146,98178,summer,271000.0,257500.0,334750.0,77250.0
146,7878400043,98178,summer,271000.0,185000.0,240500.0,55500.0
148,6874200960,98178,winter,263295.0,170000.0,221000.0,51000.0
149,3969300030,98178,winter,263295.0,239900.0,311870.0,71970.0
151,561000075,98178,winter,263295.0,260000.0,338000.0,78000.0
153,3348401740,98178,winter,263295.0,188000.0,244400.0,56400.0
157,185000118,98178,winter,263295.0,212000.0,275600.0,63600.0
158,3352400004,98178,winter,263295.0,184500.0,239850.0,55350.0
160,3800008,98178,winter,263295.0,178000.0,231400.0,53400.0
162,4060000440,98178,winter,263295.0,241000.0,313300.0,72300.0
166,4136800205,98178,winter,263295.0,258000.0,335400.0,77400.0
168,4058801230,98178,winter,263295.0,256000.0,332800.0,76800.0
171,7812800681,98178,winter,263295.0,166000.0,215800.0,49800.0
174,3878900681,98178,winter,263295.0,272000.0,299200.0,27200.0
176,7812801125,98178,winter,263295.0,222900.0,289770.0,66870.0
177,7657000085,98178,winter,263295.0,218000.0,283400.0,65400.0
179,1423049029,98178,winter,263295.0,265000.0,291500.0,26500.0
181,179001101,98178,winter,263295.0,135000.0,175500.0,40500.0
183,1123049027,98178,winter,263295.0,157500.0,204750.0,47250.0
188,3151600035,98178,winter,263295.0,261590.0,340067.0,78477.0
189,7812800855,98178,winter,263295.0,159100.0,206830.0,47730.0
190,7657000540,98178,winter,263295.0,260000.0,338000.0,78000.0
191,4440400155,98178,winter,263295.0,190000.0,247000.0,57000.0
192,7812801785,98178,winter,263295.0,221347.0,287751.10000000003,66404.10000000003
193,3352401037,98178,winter,263295.0,224000.0,291200.0,67200.0
194,4268200055,98178,spring,280005.0,245000.0,318500.0,73500.0
195,2171400126,98178,spring,280005.0,269000.0,349700.0,80700.0
196,2171400218,98178,spring,280005.0,245000.0,318500.0,73500.0
197,3810000860,98178,spring,280005.0,240000.0,312000.0,72000.0
199,3810000465,98178,spring,280005.0,243000.0,315900.0,72900.0
200,3352401981,98178,spring,280005.0,199000.0,258700.0,59700.0
202,2172000750,98178,spring,280005.0,160000.0,208000.0,48000.0
204,399000025,98178,spring,280005.0,265000.0,344500.0,79500.0
205,9368700031,98178,spring,280005.0,195000.0,253500.0,58500.0
213,3352400330,98178,spring,280005.0,216000.0,280800.0,64800.0
214,7812801115,98178,spring,280005.0,153000.0,198900.0,45900.0
215,9282800065,98178,spring,280005.0,203000.0,263900.0,60900.0
216,3348401095,98178,spring,280005.0,210000.0,273000.0,63000.0
218,2172000846,98178,spring,280005.0,248000.0,322400.0,74400.0
220,4440400125,98178,spring,280005.0,228000.0,296400.0,68400.0
225,9368700270,98178,spring,280005.0,137900.0,179270.0,41370.0
226,3352402272,98178,spring,280005.0,230000.0,299000.0,69000.0
230,7689600360,98178,spring,280005.0,215000.0,279500.0,64500.0
232,3352400905,98178,spring,280005.0,245000.0,318500.0,73500.0
233,1180003175,98178,spring,280005.0,229950.0,298935.0,68985.0
235,2976800145,98178,spring,280005.0,260000.0,338000.0,78000.0
236,179001046,98178,spring,280005.0,229000.0,297700.0,68700.0
237,2172000894,98178,spring,280005.0,225000.0,292500.0,67500.0
238,1180005220,98178,spring,280005.0,225000.0,292500.0,67500.0
239,2172000285,98178,spring,280005.0,254500.0,330850.0,76350.0
243,7812801700,98178,spring,280005.0,227000.0,295100.0,68100.0
244,4060000290,98178,spring,280005.0,253000.0,328900.0,75900.0
246,3347401315,98178,spring,280005.0,220000.0,286000.0,66000.0
248,1423049019,98178,spring,280005.0,90000.0,117000.0,27000.0
249,1423049019,98178,spring,280005.0,220000.0,286000.0,66000.0
257,2988800011,98178,spring,280005.0,244000.0,317200.0,73200.0
258,3878900464,98178,spring,280005.0,229500.0,298350.0,68850.0
262,6381500700,98125,autumn,432375.0,365000.0,474500.0,109500.0
265,6414100111,98125,autumn,432375.0,365000.0,474500.0,109500.0
266,8901000445,98125,autumn,432375.0,390000.0,507000.0,117000.0
271,7663700261,98125,autumn,432375.0,395000.0,513500.0,118500.0
279,5101407305,98125,autumn,432375.0,319000.0,414700.0,95700.0
280,7663700759,98125,autumn,432375.0,368000.0,478400.0,110400.0
282,1787600094,98125,autumn,432375.0,285000.0,370500.0,85500.0
284,2926049408,98125,autumn,432375.0,400000.0,520000.0,120000.0
285,6412600005,98125,autumn,432375.0,375000.0,487500.0,112500.0
290,9324800180,98125,autumn,432375.0,403250.0,524225.0,120975.0
293,2126049096,98125,autumn,432375.0,399000.0,518700.0,119700.0
294,5272200040,98125,autumn,432375.0,375000.0,487500.0,112500.0
295,1453602284,98125,autumn,432375.0,296000.0,384800.0,88800.0
298,6632300230,98125,autumn,432375.0,377500.0,490750.0,113250.0
302,3834000400,98125,autumn,432375.0,415000.0,539500.0,124500.0
303,1454100260,98125,autumn,432375.0,357000.0,464100.0,107100.0
305,3822200105,98125,autumn,432375.0,380000.0,494000.0,114000.0
306,4426600125,98125,autumn,432375.0,279000.0,362700.0,83700.0
310,7715600070,98125,autumn,432375.0,385000.0,500500.0,115500.0
314,5272200045,98125,autumn,432375.0,378000.0,491400.0,113400.0
319,6632300477,98125,autumn,432375.0,324950.0,422435.0,97485.0
320,6381500720,98125,autumn,432375.0,395000.0,513500.0,118500.0
321,8820903370,98125,autumn,432375.0,348000.0,452400.0,104400.0
323,6381500450,98125,autumn,432375.0,380950.0,495235.0,114285.0
326,8820903560,98125,autumn,432375.0,380000.0,494000.0,114000.0
327,2826049091,98125,autumn,432375.0,259950.0,337935.0,77985.0
330,5101407350,98125,autumn,432375.0,399000.0,518700.0,119700.0
332,2826049108,98125,autumn,432375.0,353500.0,459550.0,106050.0
333,751000190,98125,autumn,432375.0,355000.0,461500.0,106500.0
334,1453602313,98125,autumn,432375.0,297000.0,386100.0,89100.0
336,2926049237,98125,autumn,432375.0,417500.0,542750.0,125250.0
340,820000018,98125,autumn,432375.0,387500.0,503750.0,116250.0
342,7663700401,98125,autumn,432375.0,229000.0,297700.0,68700.0
343,9324800025,98125,autumn,432375.0,325500.0,423150.0,97650.0
344,4077800258,98125,autumn,432375.0,400000.0,520000.0,120000.0
345,5101406522,98125,autumn,432375.0,420000.0,546000.0,126000.0
347,1453602310,98125,autumn,432375.0,303000.0,393900.0,90900.0
348,5101408735,98125,autumn,432375.0,250000.0,325000.0,75000.0
349,8822900115,98125,autumn,432375.0,306000.0,397800.0,91800.0
350,2926049564,98125,autumn,432375.0,360000.0,468000.0,108000.0
352,6411600411,98125,autumn,432375.0,257000.0,334100.0,77100.0
353,3821700038,98125,autumn,432375.0,305000.0,396500.0,91500.0
354,1453601038,98125,autumn,432375.0,292000.0,379600.0,87600.0
356,1133000671,98125,spring,429950.0,315000.0,409500.0,94500.0
358,6798100662,98125,spring,429950.0,312000.0,405600.0,93600.0
362,5144000036,98125,spring,429950.0,360000.0,468000.0,108000.0
363,751000060,98125,spring,429950.0,353000.0,458900.0,105900.0
365,6381500505,98125,spring,429950.0,400000.0,520000.0,120000.0
367,4427100105,98125,spring,429950.0,398000.0,517400.0,119400.0
374,6161000015,98125,spring,429950.0,349950.0,454935.0,104985.0
375,2026049125,98125,spring,429950.0,310000.0,403000.0,93000.0
378,1787600252,98125,spring,429950.0,282000.0,366600.0,84600.0
379,2926049449,98125,spring,429950.0,384400.0,499720.0,115320.0
381,3226049184,98125,spring,429950.0,325000.0,422500.0,97500.0
382,6414100721,98125,spring,429950.0,407500.0,529750.0,122250.0
383,7663700551,98125,spring,429950.0,336000.0,436800.0,100800.0
385,6381500635,98125,spring,429950.0,342000.0,444600.0,102600.0
386,6632300161,98125,spring,429950.0,422000.0,548600.0,126600.0
391,1133000050,98125,spring,429950.0,362000.0,470600.0,108600.0
394,4427100025,98125,spring,429950.0,270000.0,351000.0,81000.0
396,8820901415,98125,spring,429950.0,400000.0,520000.0,120000.0
398,3448000410,98125,spring,429950.0,354901.0,461371.3,106470.29999999999
404,2744600040,98125,spring,429950.0,330000.0,429000.0,99000.0
405,5101405604,98125,spring,429950.0,395000.0,513500.0,118500.0
408,4077800518,98125,spring,429950.0,371000.0,482300.0,111300.0
409,6381500035,98125,spring,429950.0,385000.0,500500.0,115500.0
410,6632300040,98125,spring,429950.0,327000.0,425100.0,98100.0
411,6413100311,98125,spring,429950.0,390000.0,507000.0,117000.0
412,2126049083,98125,spring,429950.0,324500.0,421850.0,97350.0
413,7663700783,98125,spring,429950.0,369500.0,480350.0,110850.0
414,1133000036,98125,spring,429950.0,410000.0,533000.0,123000.0
415,6413600192,98125,spring,429950.0,325000.0,422500.0,97500.0
416,3226049045,98125,spring,429950.0,350000.0,455000.0,105000.0
423,3448002267,98125,spring,429950.0,385000.0,500500.0,115500.0
424,2832100270,98125,spring,429950.0,306888.0,398954.4,92066.40000000002
428,6414100133,98125,spring,429950.0,337000.0,438100.0,101100.0
429,4375700065,98125,spring,429950.0,315275.0,409857.5,94582.5
430,2026049183,98125,spring,429950.0,324950.0,422435.0,97485.0
432,2026049124,98125,spring,429950.0,325000.0,422500.0,97500.0
434,1453602283,98125,spring,429950.0,342000.0,444600.0,102600.0
435,705000120,98125,spring,429950.0,395000.0,513500.0,118500.0
438,6413600276,98125,spring,429950.0,354950.0,461435.0,106485.0
440,4427100145,98125,spring,429950.0,424000.0,551200.0,127200.0
442,8822901024,98125,spring,429950.0,310000.0,403000.0,93000.0
444,2926049376,98125,spring,429950.0,220000.0,286000.0,66000.0
447,2044500213,98125,spring,429950.0,310000.0,403000.0,93000.0
448,6414600321,98125,spring,429950.0,317000.0,412100.0,95100.0
450,8632100010,98125,spring,429950.0,365000.0,474500.0,109500.0
452,1454100122,98125,spring,429950.0,405000.0,526500.0,121500.0
453,1787600190,98125,spring,429950.0,353000.0,458900.0,105900.0
455,9421500130,98125,spring,429950.0,378000.0,491400.0,113400.0
456,1453600182,98125,spring,429950.0,285000.0,370500.0,85500.0
457,6413600290,98125,spring,429950.0,252500.0,328250.0,75750.0
458,3448001975,98125,spring,429950.0,351000.0,456300.0,105300.0
460,6798100661,98125,spring,429950.0,340000.0,442000.0,102000.0
462,3448000755,98125,spring,429950.0,399950.0,519935.0,119985.0
468,7663700973,98125,spring,429950.0,321000.0,417300.0,96300.0
469,6632300212,98125,spring,429950.0,366750.0,476775.0,110025.0
470,2325300060,98125,spring,429950.0,344000.0,447200.0,103200.0
471,3753000030,98125,spring,429950.0,399950.0,519935.0,119985.0
472,3448001412,98125,spring,429950.0,295000.0,383500.0,88500.0
473,2926049582,98125,spring,429950.0,265000.0,344500.0,79500.0
474,8822900122,98125,spring,429950.0,325000.0,422500.0,97500.0
476,3753000010,98125,spring,429950.0,417250.0,542425.0,125175.0
478,3992700335,98125,summer,418500.0,382500.0,497250.0,114750.0
482,6370000070,98125,summer,418500.0,359000.0,466700.0,107700.0
483,8902500118,98125,summer,418500.0,326000.0,423800.0,97800.0
484,2126049032,98125,summer,418500.0,375000.0,487500.0,112500.0
487,6632300478,98125,summer,418500.0,400000.0,520000.0,120000.0
488,2239800070,98125,summer,418500.0,417000.0,542100.0,125100.0
489,3992700036,98125,summer,418500.0,415000.0,539500.0,124500.0
490,9324800110,98125,summer,418500.0,420000.0,462000.00000000006,42000.00000000006
491,3834000805,98125,summer,418500.0,350000.0,455000.0,105000.0
492,6381501636,98125,summer,418500.0,320000.0,416000.0,96000.0
494,7663700792,98125,summer,418500.0,228000.0,296400.0,68400.0
495,6855700115,98125,summer,418500.0,357250.0,464425.0,107175.0
496,1453602309,98125,summer,418500.0,288000.0,374400.0,86400.0
497,1787600164,98125,summer,418500.0,310000.0,403000.0,93000.0
499,3992700265,98125,summer,418500.0,385100.0,500630.0,115530.0
505,1454100056,98125,summer,418500.0,355000.0,461500.0,106500.0
506,6798100652,98125,summer,418500.0,316750.0,411775.0,95025.0
508,8820902905,98125,summer,418500.0,375000.0,487500.0,112500.0
511,3992700130,98125,summer,418500.0,267000.0,347100.0,80100.0
512,6855700080,98125,summer,418500.0,294950.0,383435.0,88485.0
514,6381500170,98125,summer,418500.0,235000.0,305500.0,70500.0
515,8820900670,98125,summer,418500.0,399950.0,519935.0,119985.0
517,6413100122,98125,summer,418500.0,369950.0,480935.0,110985.0
518,1454100005,98125,summer,418500.0,350000.0,455000.0,105000.0
519,1454100480,98125,summer,418500.0,378500.0,492050.0,113550.0
520,4427100095,98125,summer,418500.0,360000.0,468000.0,108000.0
522,6381500065,98125,summer,418500.0,376500.0,489450.0,112950.0
525,2044500142,98125,summer,418500.0,420000.0,462000.00000000006,42000.00000000006
